TIME	CH1	CH2	CH3	CH4
3.276e-05	-0.125	-0.125	-0.078125	-0.046875
3.272e-05	-0.125	-0.125	-0.078125	-0.046875
3.268e-05	-0.125	-0.125	-0.078125	-0.046875
3.264e-05	-0.125	-0.125	-0.078125	-0.046875
3.26e-05	-0.125	-0.125	-0.078125	-0.046875
3.256e-05	-0.125	-0.125	-0.078125	-0.046875
3.252e-05	-0.109375	-0.125	-0.0625	-0.046875
3.248e-05	-0.109375	-0.125	-0.0625	-0.046875
3.244e-05	-0.109375	-0.125	-0.0625	-0.046875
3.24e-05	-0.109375	-0.125	-0.0625	-0.046875
3.236e-05	-0.109375	-0.125	-0.0625	-0.046875
3.232e-05	-0.109375	-0.125	-0.078125	-0.046875
3.228e-05	-0.109375	-0.125	-0.078125	-0.046875
3.224e-05	-0.078125	-0.125	-0.078125	-0.046875
3.22e-05	-0.078125	-0.125	-0.0625	-0.046875
3.216e-05	-0.078125	-0.125	-0.078125	-0.046875
3.212e-05	-0.078125	-0.125	-0.078125	-0.046875
3.208e-05	-0.078125	-0.125	-0.0625	-0.046875
3.204e-05	-0.078125	-0.125	-0.078125	-0.046875
3.2e-05	-0.078125	-0.125	-0.078125	-0.046875
3.196e-05	-0.078125	-0.125	-0.078125	-0.046875
3.192e-05	-0.0625	-0.125	-0.078125	-0.046875
3.188e-05	-0.0625	-0.125	-0.0625	-0.046875
3.184e-05	-0.0625	-0.125	-0.078125	-0.046875
3.18e-05	-0.0625	-0.125	-0.078125	-0.046875
3.176e-05	-0.0625	-0.125	-0.078125	-0.046875
3.172e-05	-0.0625	-0.125	-0.078125	-0.046875
3.168e-05	-0.0625	-0.125	-0.078125	-0.046875
3.164e-05	-0.0625	-0.125	-0.0625	-0.046875
3.16e-05	-0.046875	-0.125	-0.078125	-0.046875
3.156e-05	-0.0625	-0.125	-0.0625	-0.046875
3.152e-05	-0.046875	-0.125	-0.078125	-0.046875
3.148e-05	-0.046875	-0.125	-0.078125	-0.046875
3.144e-05	-0.046875	-0.125	-0.078125	-0.046875
3.14e-05	-0.046875	-0.125	-0.078125	-0.046875
3.136e-05	-0.046875	-0.125	-0.078125	-0.046875
3.132e-05	-0.046875	-0.125	-0.078125	-0.046875
3.128e-05	-0.03125	-0.125	-0.078125	-0.046875
3.124e-05	-0.03125	-0.125	-0.0625	-0.046875
3.12e-05	-0.03125	-0.125	-0.078125	-0.046875
3.116e-05	-0.03125	-0.125	-0.0625	-0.046875
3.112e-05	-0.03125	-0.125	-0.078125	-0.046875
3.108e-05	-0.03125	-0.125	-0.078125	-0.046875
3.104e-05	-0.03125	-0.125	-0.0625	-0.046875
3.1e-05	-0.03125	-0.125	-0.0625	-0.046875
3.096e-05	-0.03125	-0.125	-0.078125	-0.046875
3.092e-05	-0.03125	-0.125	-0.078125	-0.046875
3.088e-05	0	-0.125	-0.078125	-0.046875
3.084e-05	0	-0.125	-0.078125	-0.046875
3.08e-05	0	-0.125	-0.078125	-0.046875
3.076e-05	0	-0.125	-0.0625	-0.046875
3.072e-05	0	-0.125	-0.0625	-0.046875
3.068e-05	0	-0.125	-0.0625	-0.046875
3.064e-05	0	-0.125	-0.0625	-0.046875
3.06e-05	0.015625	-0.125	-0.078125	-0.046875
3.056e-05	0.015625	-0.125	-0.078125	-0.046875
3.052e-05	0.015625	-0.125	-0.078125	-0.046875
3.048e-05	0.015625	-0.125	-0.0625	-0.046875
3.044e-05	0.015625	-0.125	-0.078125	-0.046875
3.04e-05	0.015625	-0.125	-0.078125	-0.046875
3.036e-05	0.015625	-0.125	-0.0625	-0.046875
3.032e-05	0.015625	-0.125	-0.0625	-0.046875
3.028e-05	0.015625	-0.125	-0.0625	-0.046875
3.024e-05	0.0625	-0.125	-0.078125	-0.046875
3.02e-05	0.0625	-0.125	-0.0625	-0.046875
3.016e-05	0.0625	-0.125	-0.078125	-0.046875
3.012e-05	0.0625	-0.125	-0.0625	-0.046875
3.008e-05	0.0625	-0.125	-0.078125	-0.046875
3.004e-05	0.0625	-0.125	-0.0625	-0.046875
3e-05	0.0625	-0.125	-0.078125	-0.046875
2.996e-05	0.0625	-0.125	-0.0625	-0.046875
2.992e-05	0.078125	-0.125	-0.078125	-0.046875
2.988e-05	0.0625	-0.125	-0.0625	-0.046875
2.984e-05	0.078125	-0.125	-0.078125	-0.046875
