TIME	CH1	CH2	CH3	CH4
9.984e+06	-0.03125	-0.03125	0	0.03125
9.98e+06	-0.03125	-0.03125	0	0.03125
9.976e+06	-0.03125	-0.03125	0	0.015625
9.972e+06	-0.03125	-0.03125	0	0.03125
9.968e+06	-0.03125	-0.03125	0	0.015625
9.964e+06	-0.03125	-0.03125	0	0.015625
9.96e+06	-0.03125	-0.03125	0	0.03125
9.956e+06	-0.03125	-0.03125	0	0.015625
9.952e+06	-0.03125	-0.03125	0	0.015625
9.948e+06	-0.03125	-0.03125	0	0.03125
9.944e+06	-0.03125	-0.03125	0	0.03125
9.94e+06	-0.03125	-0.03125	0	0.03125
9.936e+06	-0.03125	-0.03125	0	0.015625
9.932e+06	-0.03125	-0.03125	0	0.015625
9.928e+06	-0.03125	-0.03125	0	0.03125
9.924e+06	-0.03125	-0.03125	0	0.03125
9.92e+06	-0.03125	-0.03125	0	0.015625
9.916e+06	-0.03125	-0.03125	0	0.015625
9.912e+06	-0.03125	-0.03125	0	0.015625
9.908e+06	-0.03125	-0.03125	0	0.015625
9.904e+06	-0.03125	-0.03125	0	0.015625
9.9e+06	-0.03125	-0.03125	0	0.015625
9.896e+06	-0.03125	-0.03125	0	0.015625
9.892e+06	-0.03125	-0.03125	0	0.015625
9.888e+06	-0.03125	-0.03125	0	0.015625
9.884e+06	-0.03125	-0.03125	0	0.015625
9.88e+06	-0.03125	-0.03125	0	0.015625
9.876e+06	-0.03125	-0.03125	0	0.03125
9.872e+06	-0.03125	-0.03125	0	0.015625
9.868e+06	-0.03125	-0.03125	0	0.015625
9.864e+06	-0.03125	-0.03125	0	0.015625
9.86e+06	-0.03125	-0.03125	0	0.015625
9.856e+06	-0.03125	-0.03125	0	0.03125
9.852e+06	-0.03125	-0.03125	0	0.015625
9.848e+06	-0.03125	-0.03125	0	0.03125
9.844e+06	-0.03125	-0.03125	0	0.015625
9.84e+06	-0.03125	-0.03125	0	0.015625
9.836e+06	-0.03125	-0.03125	0	0.03125
9.832e+06	-0.03125	-0.03125	0	0.015625
9.828e+06	-0.03125	-0.03125	0	0.015625
9.824e+06	-0.03125	-0.03125	0	0.03125
9.82e+06	-0.03125	-0.03125	0	0.015625
9.816e+06	-0.03125	-0.03125	0	0.015625
9.812e+06	-0.03125	-0.03125	0	0.015625
9.808e+06	-0.03125	-0.03125	0	0.015625
9.804e+06	-0.03125	-0.03125	0	0.015625
9.8e+06	-0.03125	-0.03125	0	0.015625
9.796e+06	-0.03125	-0.03125	0	0.015625
9.792e+06	-0.03125	-0.03125	0	0.03125
9.788e+06	-0.03125	-0.03125	0	0.015625
9.784e+06	-0.03125	-0.03125	0	0.015625
9.78e+06	0	-0.03125	0	0.015625
9.776e+06	-0.03125	-0.03125	0	0.015625
9.772e+06	-0.03125	-0.03125	0	0.015625
9.768e+06	-0.03125	-0.03125	0	0.015625
9.764e+06	-0.03125	-0.03125	0	0.015625
9.76e+06	-0.03125	-0.03125	0	0.015625
9.756e+06	-0.03125	-0.03125	0	0.015625
9.752e+06	-0.03125	-0.03125	0	0.015625
9.748e+06	-0.03125	-0.03125	0	0.015625
9.744e+06	-0.03125	-0.03125	0	0.015625
9.74e+06	-0.03125	-0.03125	0	0.03125
9.736e+06	-0.03125	-0.03125	0	0.03125
9.732e+06	-0.03125	-0.03125	0	0.015625
9.728e+06	-0.03125	-0.03125	0	0.03125
9.724e+06	-0.03125	-0.03125	0	0.015625
9.72e+06	-0.03125	-0.03125	0	0.015625
9.716e+06	-0.03125	-0.03125	0	0.03125
9.712e+06	-0.03125	-0.03125	0	0.015625
9.708e+06	-0.03125	-0.03125	0	0.03125
9.704e+06	-0.03125	-0.03125	0	0.015625
9.7e+06	-0.03125	-0.03125	0	0.015625
9.696e+06	-0.03125	-0.03125	0	0.015625
9.692e+06	-0.03125	-0.03125	0	0.015625
9.688e+06	-0.03125	-0.03125	0	0.015625
9.684e+06	-0.03125	-0.03125	0	0.03125
9.68e+06	-0.03125	-0.03125	0	0.015625
9.676e+06	-0.03125	-0.03125	0	0.015625
9.672e+06	-0.03125	-0.03125	0	0.015625
9.668e+06	-0.03125	-0.03125	0	0.015625
9.664e+06	-0.03125	-0.03125	0	0.03125
9.66e+06	-0.03125	-0.03125	0	0.015625
9.656e+06	-0.03125	-0.03125	0	0.015625
9.652e+06	-0.03125	-0.03125	0	0.03125
9.648e+06	-0.03125	-0.03125	0	0.015625
9.644e+06	-0.03125	-0.03125	0	0.015625
9.64e+06	-0.03125	-0.03125	0	0.03125
9.636e+06	-0.03125	-0.03125	0	0.03125
9.632e+06	-0.03125	-0.03125	0	0.015625
9.628e+06	-0.03125	-0.03125	0	0.03125
9.624e+06	-0.03125	-0.03125	0	0.015625
9.62e+06	-0.03125	-0.03125	0	0.03125
9.616e+06	-0.03125	-0.03125	0	0.015625
9.612e+06	-0.03125	-0.03125	0	0.015625
9.608e+06	-0.03125	-0.03125	0	0.015625
9.604e+06	-0.03125	-0.03125	0	0.03125
9.6e+06	-0.03125	-0.03125	0	0.03125
9.596e+06	-0.03125	-0.03125	0	0.03125
9.592e+06	-0.03125	-0.03125	0	0.015625
9.588e+06	-0.03125	-0.03125	0	0.03125
9.584e+06	-0.03125	-0.03125	0	0.015625
9.58e+06	-0.03125	-0.03125	0	0.015625
9.576e+06	-0.03125	-0.03125	0	0.03125
9.572e+06	-0.03125	-0.03125	0	0.015625
9.568e+06	-0.03125	-0.03125	0	0.015625
9.564e+06	-0.03125	-0.03125	0	0.03125
9.56e+06	-0.03125	-0.03125	0	0.015625
